1s: 2, -3.7912344168052786699e+03
2s: 2, -6.6346601254616632559e+02
3s: 2, -1.7013837226448188744e+02
4s: 2, -4.4907462581735764218e+01
5s: 2, -1.1053078564664557959e+01
6s: 2, -2.6587555161305700402e+00
2p: 6, -6.4303461800887703248e+02
3p: 6, -1.5997496642390322563e+02
4p: 6, -4.0152020979560390401e+01
5p: 6, -9.1740748183874849531e+00
6p: 6, -2.0844090154569938633e+00
3d: 10, -1.4085029938048202780e+02
4d: 10, -3.1237233157106057746e+01
5d: 10, -5.8654850849404578383e+00
4f: 14, -1.8825258371073822161e+01
5f: 6, -2.0163505998531285890e+00
-2.6507711449939488375e+04
