0.0000000000000000000e+00,6.8185603219006303698e+05
3.3344448149383127886e-03,3.5507190474742534570e+05
6.6688896298766255771e-03,1.8642006269880622858e+05
1.0003334444814937498e-02,1.0020482922569882066e+05
1.3337779259753251154e-02,5.6586210058635748283e+04
1.6672224074691564810e-02,3.4700556216252458398e+04
2.0006668889629874997e-02,2.3702724021562447888e+04
2.3341113704568188653e-02,1.8023604637945874856e+04
2.6675558519506502309e-02,1.4857272741675173165e+04
3.0010003334444815964e-02,1.2831851532265140122e+04
3.3344448149383129620e-02,1.1307289109693776481e+04
3.6678892964321439807e-02,1.0007251516284788522e+04
4.0013337779259749993e-02,8.8282776354753514170e+03
4.3347782594198067119e-02,7.7428075771794819957e+03
4.6682227409136377305e-02,6.7517348917660028746e+03
5.0016672224074694431e-02,5.8626056895554129369e+03
5.3351117039013004617e-02,5.0804768863277931814e+03
5.6685561853951314804e-02,4.4055543327048853826e+03
6.0020006668889631929e-02,3.8330177053870670534e+03
6.3354451483827942115e-02,3.3546184887633266953e+03
6.6688896298766259241e-02,2.9596436132844728490e+03
7.0023341113704562488e-02,2.6366405869681029799e+03
7.3357785928642879614e-02,2.3739124469389594196e+03
7.6692230743581196739e-02,2.1605988382138793895e+03
8.0026675558519499987e-02,1.9867923583340430014e+03
8.3361120373457817112e-02,1.8439021107365895205e+03
8.6695565188396134237e-02,1.7246817030211191195e+03
9.0030010003334451363e-02,1.6231756770096417313e+03
9.3364454818272754610e-02,1.5346347180493821725e+03
9.6698899633211071736e-02,1.4553500845561570713e+03
1.0003334444814938886e-01,1.3825756011444536853e+03
1.0336778926308769211e-01,1.3142951159486601682e+03
1.0670223407802600923e-01,1.2490802462558360730e+03
1.1003667889296432636e-01,1.1860501596753492777e+03
1.1337112370790262961e-01,1.1246842491306879310e+03
1.1670556852284094673e-01,1.0647058380234934702e+03
1.2004001333777926386e-01,1.0060505977550758416e+03
1.2337445815271756711e-01,9.4880951545362665911e+02
1.2670890296765588423e-01,8.9314127206980992923e+02
1.3004334778259418748e-01,8.3923600203177534240e+02
1.3337779259753251848e-01,7.8729751771531630311e+02
1.3671223741247082173e-01,7.3752625077918366969e+02
1.4004668222740912498e-01,6.9010076142164598423e+02
1.4338112704234745598e-01,6.4516913715711928035e+02
1.4671557185728575923e-01,6.0283860294414228065e+02
1.5005001667222406248e-01,5.6316640271094070158e+02
1.5338446148716239348e-01,5.2617759588323019670e+02
1.5671890630210069673e-01,4.9186855075581382835e+02
1.6005335111703899997e-01,4.6020788579482990599e+02
1.6338779593197733098e-01,4.3113042852779358327e+02
1.6672224074691563422e-01,4.0453361961661818214e+02
1.7005668556185396523e-01,3.8030159687125524215e+02
1.7339113037679226847e-01,3.5830965398647197162e+02
1.7672557519173057172e-01,3.3842546850993596763e+02
1.8006002000666890273e-01,3.2050951819481821303e+02
1.8339446482160720597e-01,3.0440869077335287329e+02
1.8672890963654550922e-01,2.8996713933030440558e+02
1.9006335445148384022e-01,2.7703485999953863939e+02
1.9339779926642214347e-01,2.6546769852231960840e+02
1.9673224408136044672e-01,2.5512730221543668563e+02
2.0006668889629877772e-01,2.4588099951864631976e+02
2.0340113371123708097e-01,2.3760025954582124541e+02
2.0673557852617538422e-01,2.3016407149171021729e+02
2.1007002334111371522e-01,2.2346175014483281984e+02
2.1340446815605201847e-01,2.1739217336482556675e+02
2.1673891297099032172e-01,2.1186301372558901335e+02
2.2007335778592865272e-01,2.0679006305403967758e+02
2.2340780260086695597e-01,2.0209675465097024016e+02
2.2674224741580525921e-01,1.9771519628422066717e+02
2.3007669223074359022e-01,1.9358635048164265413e+02
2.3341113704568189346e-01,1.8965880625196803067e+02
2.3674558186062019671e-01,1.8588794225984995023e+02
2.4008002667555852772e-01,1.8223519286555966801e+02
2.4341447149049683096e-01,1.7866739788965725211e+02
2.4674891630543513421e-01,1.7515622611314810797e+02
2.5008336112037343746e-01,1.7167826460275185241e+02
2.5341780593531176846e-01,1.6821612212225394956e+02
2.5675225075025009946e-01,1.6475660243409339500e+02
2.6008669556518837496e-01,1.6128979957503568698e+02
2.6342114038012670596e-01,1.5780863284372256317e+02
2.6675558519506503696e-01,1.5430843764139655150e+02
2.7009003001000331246e-01,1.5078660554851580855e+02
2.7342447482494164346e-01,1.4724226783811130304e+02
2.7675891963987997446e-01,1.4367605063933092424e+02
2.8009336445481824995e-01,1.4009040084772030355e+02
2.8342780926975658096e-01,1.3648929537439639148e+02
2.8676225408469491196e-01,1.3287752619857803893e+02
2.9009669889963318745e-01,1.2926048927352894680e+02
2.9343114371457151845e-01,1.2564401660787908099e+02
2.9676558852950984946e-01,1.2203423139404517883e+02
3.0010003334444812495e-01,1.1843742348925066210e+02
3.0343447815938645595e-01,1.1485994286994829849e+02
3.0676892297432478696e-01,1.1130810893379091908e+02
3.1010336778926306245e-01,1.0778804828451312403e+02
3.1343781260420139345e-01,1.0430545531899483080e+02
3.1677225741913972445e-01,1.0086578736184550564e+02
3.2010670223407799995e-01,9.7474278479246933671e+01
3.2344114704901633095e-01,9.4135901683304879839e+01
3.2677559186395466195e-01,9.0855338581965781941e+01
3.3011003667889299296e-01,8.7636955588870634415e+01
3.3344448149383126845e-01,8.4484785906819098500e+01
3.3677892630876959945e-01,8.1402516586451582725e+01
3.4011337112370793045e-01,7.8393480039698204109e+01
3.4344781593864620595e-01,7.5460630795198753162e+01
3.4678226075358453695e-01,7.2606132320294392457e+01
3.5011670556852286795e-01,6.9831418442168313732e+01
3.5345115038346114344e-01,6.7137661390313326137e+01
