1s: 2, -2.7742871805884196874e+03
2s: 2, -4.7242963898054296124e+02
3s: 2, -1.1838050985699128148e+02
4s: 2, -3.2380650038310207606e+01
5s: 2, -1.0469637554947757607e+01
6s: 2, -4.1470909171451291186e+00
2p: 6, -4.5523987780272977943e+02
3p: 6, -1.1009931164263403502e+02
4p: 6, -2.8763982074598597904e+01
5p: 6, -9.1143612021153899150e+00
3d: 10, -9.4442065161866707967e+01
4d: 10, -2.2055803179366677114e+01
5d: 10, -6.7708166022256586203e+00
4f: 14, -1.2997153226062758691e+01
-1.9517079176506020303e+04
