1s: 2, -4.4960483303991977664e+03
2s: 2, -7.9783244755278599314e+02
3s: 2, -2.0879646835632584612e+02
4s: 2, -5.6669689423405806394e+01
5s: 2, -1.4372278717041130136e+01
6s: 2, -3.5308903121908814526e+00
2p: 6, -7.7520468006535838867e+02
3p: 6, -1.9730096157569209936e+02
4p: 6, -5.1144012360918857496e+01
5p: 6, -1.2094640619690084193e+01
6p: 6, -2.7720294744505800111e+00
3d: 10, -1.7561899730418258514e+02
4d: 10, -4.0719085899164575437e+01
5d: 10, -8.0051677348141332402e+00
4f: 14, -2.6055173303254587580e+01
5f: 14, -3.0690948275925378219e+00
-3.2441969388018791506e+04
