1s: 2, -4.0435137214797823617e+03
2s: 2, -7.0761674272027846655e+02
3s: 2, -1.7992188512771434716e+02
4s: 2, -4.5800814796217999003e+01
5s: 2, -1.0209883737869198228e+01
6s: 2, -2.2110148138350274039e+00
2p: 6, -6.8631555832966398611e+02
3p: 6, -1.6920808973416751542e+02
4p: 6, -4.0745811486704297977e+01
5p: 6, -8.2455586210557942906e+00
6p: 6, -1.6718636656119223449e+00
3d: 10, -1.4899430310739222705e+02
4d: 10, -3.1227802523284033498e+01
5d: 10, -4.8133859781506140862e+00
4f: 14, -1.7874287104696417572e+01
5f: 10, -1.0986782785547908325e+00
-2.8324821502443388454e+04
