1s: 2, -5.8845313898750737280e+03
2s: 2, -1.0720796061377334354e+03
3s: 2, -2.9318486228314043274e+02
4s: 2, -8.5006082895582011361e+01
5s: 2, -2.2106727128167161567e+01
6s: 2, -4.3521223458311864007e+00
7s: 2, -6.7437353994791637835e-01
2p: 6, -1.0457119322215107786e+03
3p: 6, -2.7944055332985021778e+02
4p: 6, -7.8121447163906879041e+01
5p: 6, -1.9018564171680363728e+01
6p: 6, -3.2571804084054254425e+00
7p: 2, -4.3309226592207333839e-01
3d: 10, -2.5353528337882926280e+02
4d: 10, -6.5093835823706612587e+01
5d: 10, -1.3346962536811265210e+01
6d: 10, -1.4642079809874661844e+00
4f: 14, -4.6650670555757528746e+01
5f: 14, -5.9453563185178994743e+00
-4.3548947103012615116e+04
